"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.04.2024","3.050,78","2.985,82","3.062,26","2.955,31","577,82K","2,18%"
"17.04.2024","2.985,82","3.083,42","3.123,68","2.917,59","524,88K","-3,17%"
"16.04.2024","3.083,43","3.100,98","3.125,19","2.998,17","560,47K","-0,56%"
"15.04.2024","3.100,94","3.152,65","3.273,03","3.030,76","654,92K","-1,64%"
"14.04.2024","3.152,65","3.005,96","3.168,52","2.913,83","799,68K","4,93%"
"13.04.2024","3.004,44","3.237,16","3.296,69","2.863,89","1,06M","-7,27%"
"12.04.2024","3.239,86","3.502,55","3.551,22","3.150,92","739,63K","-7,50%"
"11.04.2024","3.502,55","3.545,16","3.615,24","3.479,15","349,38K","-1,20%"
"10.04.2024","3.545,16","3.506,95","3.560,13","3.419,12","404,41K","1,09%"
"09.04.2024","3.506,96","3.694,92","3.723,75","3.459,79","482,49K","-5,09%"
"08.04.2024","3.694,93","3.454,17","3.727,87","3.409,58","538,85K","6,97%"
"07.04.2024","3.454,17","3.351,99","3.459,43","3.344,89","217,80K","3,05%"
"06.04.2024","3.352,03","3.317,84","3.394,80","3.307,23","190,08K","1,03%"
"05.04.2024","3.317,84","3.327,45","3.344,17","3.212,89","359,70K","-0,29%"
"04.04.2024","3.327,45","3.310,82","3.435,57","3.254,31","371,23K","0,51%"
"03.04.2024","3.310,62","3.278,01","3.366,75","3.203,21","426,57K","1,00%"
"02.04.2024","3.277,99","3.502,84","3.505,39","3.216,48","647,13K","-6,42%"
"01.04.2024","3.502,82","3.647,08","3.647,08","3.421,96","422,72K","-3,96%"
"31.03.2024","3.647,09","3.506,82","3.652,97","3.505,17","252,38K","4,00%"
"30.03.2024","3.506,83","3.509,76","3.564,04","3.487,64","224,95K","-0,08%"
"29.03.2024","3.509,76","3.559,43","3.583,18","3.475,04","334,49K","-1,40%"
"28.03.2024","3.559,43","3.500,43","3.609,66","3.470,62","416,69K","1,69%"
"27.03.2024","3.500,43","3.587,48","3.661,91","3.462,44","460,87K","-2,43%"
"26.03.2024","3.587,50","3.590,62","3.677,24","3.544,55","520,43K","-0,09%"
"25.03.2024","3.590,62","3.455,35","3.651,30","3.421,09","584,66K","3,92%"
"24.03.2024","3.455,33","3.332,87","3.469,66","3.300,74","270,03K","3,67%"
"23.03.2024","3.332,90","3.334,19","3.430,04","3.275,78","334,86K","-0,04%"
"22.03.2024","3.334,12","3.492,89","3.541,65","3.254,56","589,84K","-4,55%"
"21.03.2024","3.493,23","3.514,73","3.583,02","3.413,60","638,79K","-0,61%"
"20.03.2024","3.514,73","3.165,07","3.531,37","3.063,60","1,26M","11,04%"
"19.03.2024","3.165,20","3.520,32","3.546,23","3.151,42","1,11M","-10,09%"
"18.03.2024","3.520,30","3.644,77","3.644,77","3.454,94","588,48K","-3,42%"
