"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"18.04.2024","141,4","145,2","146,1","139,7","37,86K","-3,22%"
"17.04.2024","146,1","148,1","150,0","144,6","36,35K","-1,81%"
"16.04.2024","148,8","151,0","151,2","144,7","71,91K","-4,92%"
"15.04.2024","156,5","160,3","161,2","154,9","53,76K","-3,51%"
"12.04.2024","162,2","163,2","163,4","161,1","24,84K","1,44%"
"11.04.2024","159,9","159,8","162,0","157,1","37,67K","-0,25%"
"10.04.2024","160,3","163,5","164,3","158,8","40,76K","-0,43%"
"09.04.2024","161,0","160,8","164,8","157,8","59,17K","0,69%"
"08.04.2024","159,9","157,1","160,7","154,7","61,32K","7,39%"
"05.04.2024","148,9","158,9","159,1","148,9","46,01K","-6,12%"
"04.04.2024","158,6","156,6","158,6","154,5","27,38K","2,19%"
"03.04.2024","155,2","154,7","155,6","151,4","25,98K","0,98%"
"02.04.2024","153,7","162,5","162,9","150,6","68,17K","-6,39%"
"28.03.2024","164,2","167,0","167,8","162,6","36,07K","-1,79%"
"27.03.2024","167,2","165,6","168,0","162,8","57,07K","0,18%"
"26.03.2024","166,9","162,0","170,0","161,5","111,30K","4,77%"
"25.03.2024","159,3","156,7","161,7","155,4","35,48K","1,66%"
"22.03.2024","156,7","160,3","160,3","152,8","73,10K","-2,25%"
"21.03.2024","160,3","163,4","163,7","160,0","43,85K","1,21%"
"20.03.2024","158,4","159,2","160,7","157,6","30,82K","0,10%"
"19.03.2024","158,2","160,6","162,0","154,3","51,31K","-0,60%"
"18.03.2024","159,2","153,2","160,3","152,4","89,17K","7,19%"
"15.03.2024","148,5","149,6","151,9","147,9","49,50K","-0,85%"
"14.03.2024","149,8","154,3","156,5","148,7","82,16K","-4,33%"
"13.03.2024","156,6","163,2","163,2","156,0","68,72K","-4,03%"
"12.03.2024","163,1","164,3","164,7","158,2","37,19K","-0,42%"
"11.03.2024","163,8","161,1","167,5","160,0","45,39K","2,27%"
"08.03.2024","160,2","164,7","167,4","159,7","61,07K","-1,11%"
"07.03.2024","162,0","160,3","164,7","158,0","56,79K","0,21%"
"06.03.2024","161,6","167,8","169,1","159,8","63,96K","-1,64%"
"05.03.2024","164,3","171,0","171,5","163,6","74,02K","-6,25%"
"04.03.2024","175,3","187,0","187,0","175,1","65,65K","-5,41%"
"01.03.2024","185,3","186,7","187,5","183,7","22,17K","0,49%"
"29.02.2024","184,4","186,6","189,3","184,4","36,78K","-2,07%"
"28.02.2024","188,3","186,0","189,3","183,3","42,95K","1,06%"
"27.02.2024","186,3","184,0","189,7","183,2","38,92K","1,08%"
"26.02.2024","184,3","176,8","184,4","175,1","51,52K","2,57%"
"23.02.2024","179,7","181,2","182,0","178,9","31,34K","-0,04%"
"22.02.2024","179,8","180,8","182,5","177,0","44,47K","0,23%"
"21.02.2024","179,4","178,5","184,2","177,3","36,06K","0,88%"
"20.02.2024","177,8","184,1","184,1","176,8","30,39K","-3,20%"
"19.02.2024","183,7","184,2","185,7","183,1","11,85K","-1,88%"
"16.02.2024","187,2","188,6","190,8","183,6","67,37K","3,94%"
"15.02.2024","180,1","177,0","181,5","175,1","45,99K","4,10%"
"14.02.2024","173,0","172,8","174,3","171,1","16,57K","0,49%"
"13.02.2024","172,2","174,9","175,5","170,1","33,58K","-3,18%"
"12.02.2024","177,8","179,0","181,4","176,8","33,92K","0,43%"
"09.02.2024","177,1","176,4","180,0","175,6","32,73K","-0,20%"
"08.02.2024","177,4","175,2","177,6","172,5","41,46K","2,21%"
"07.02.2024","173,6","173,5","177,0","169,6","42,57K","1,68%"
"06.02.2024","170,7","167,0","173,6","163,7","47,50K","2,94%"
"05.02.2024","165,9","173,6","173,7","163,2","44,88K","-2,40%"
"02.02.2024","169,9","174,5","175,0","168,9","45,18K","-0,71%"
"01.02.2024","171,2","175,3","177,3","170,1","38,51K","-2,23%"
"31.01.2024","175,1","172,6","176,3","170,8","46,77K","-1,66%"
"30.01.2024","178,0","178,7","181,1","177,2","65,41K","1,31%"
"29.01.2024","175,7","171,0","176,6","170,1","45,00K","3,41%"
"26.01.2024","169,9","168,5","171,4","168,2","59,86K","-1,15%"
"25.01.2024","171,9","179,5","180,2","170,7","117,29K","-11,16%"
"24.01.2024","193,5","194,9","196,0","191,5","35,38K","0,26%"
"23.01.2024","193,0","193,0","198,6","191,0","41,46K","0,48%"
"22.01.2024","192,1","196,5","199,7","191,8","61,88K","0,00%"
"19.01.2024","192,1","195,1","196,0","191,2","50,49K","-1,80%"
"18.01.2024","195,6","197,8","201,3","194,0","43,09K","-0,38%"
"17.01.2024","196,3","199,5","199,8","195,5","33,91K","-3,52%"
"16.01.2024","203,5","198,2","205,4","195,0","40,23K","0,94%"
"15.01.2024","201,6","200,3","202,1","200,3","12,59K","0,05%"
"12.01.2024","201,5","203,8","205,4","200,0","58,20K","-2,56%"
"11.01.2024","206,8","214,1","215,2","206,0","41,17K","-2,61%"
"10.01.2024","212,4","214,9","216,1","211,5","25,38K","-1,12%"
"09.01.2024","214,8","219,0","219,7","212,3","31,22K","-1,26%"
"08.01.2024","217,5","216,0","218,1","213,1","35,76K","-0,05%"
"05.01.2024","217,6","217,5","218,4","214,9","36,25K","-1,36%"
"04.01.2024","220,6","218,9","221,2","217,0","34,02K","0,62%"
"03.01.2024","219,3","226,0","227,4","216,5","54,78K","-3,96%"
"02.01.2024","228,3","227,1","229,1","223,2","79,19K","1,65%"
"29.12.2023","224,6","231,1","232,1","223,9","75,40K","-3,75%"
"28.12.2023","233,4","236,5","238,8","233,4","45,73K","-1,12%"
"27.12.2023","236,0","232,5","237,1","232,1","64,01K","1,68%"
"22.12.2023","232,1","231,5","233,9","229,5","43,83K","0,83%"
"21.12.2023","230,2","229,1","230,8","226,5","57,07K","-1,71%"
"20.12.2023","234,2","236,0","236,9","232,6","39,64K","-0,34%"
"19.12.2023","235,0","232,0","235,3","230,4","40,56K","0,26%"
"18.12.2023","234,4","232,0","236,7","230,8","49,65K","1,76%"
"15.12.2023","230,4","228,2","231,9","227,4","58,41K","1,86%"
"14.12.2023","226,1","220,8","227,7","219,0","84,56K","6,27%"
"13.12.2023","212,8","219,6","219,6","211,5","34,39K","-2,47%"
"12.12.2023","218,2","222,6","224,3","217,3","32,10K","-1,71%"
"11.12.2023","222,0","225,4","227,7","222,0","38,31K","-2,20%"
